id,idZbor,idUtilizator,numePasager,numarLoc,pretPlatit,dataAchizitie
1,1,3,Andrei Muresan,1A,200.0,2026-05-17T16:52:38
2,1,3,Ioana Popa,1B,200.0,2026-05-17T16:52:38
3,1,4,Mihai Dobre,1C,200.0,2026-05-17T16:52:38
4,1,3,Elena Stan,1D,200.0,2026-05-17T16:52:38
264,1,1,Apetrei Diana,1E,200.0,2026-05-17T17:06:17
5,1,4,Alexandru Nita,2A,200.0,2026-05-17T16:52:38
6,1,4,Maria Albu,2B,200.0,2026-05-17T16:52:38
7,1,3,Florin Vasile,2C,200.0,2026-05-17T16:52:38
8,1,3,Diana Oprea,2D,200.0,2026-05-17T16:52:38
9,1,4,Cristian Iancu,3A,200.0,2026-05-17T16:52:38
10,1,3,Ana Marin,3B,200.0,2026-05-17T16:52:38
